episode,survival_steps_agent0,epsilon,intrinsic_weight,env_steps_all_agents,total_env_steps_cumulative
517,94,0.074909,1.000000,752,355728
518,150,0.074534,1.000000,1200,356928
519,97,0.074162,1.000000,776,357704
520,94,0.073791,1.000000,752,358456
521,115,0.073422,1.000000,920,359376
522,88,0.073055,1.000000,704,360080
523,96,0.072689,1.000000,768,360848
524,157,0.072326,1.000000,1256,362104
525,92,0.071964,1.000000,736,362840
526,92,0.071605,1.000000,736,363576
527,144,0.071247,1.000000,1152,364728
528,103,0.070890,1.000000,824,365552
529,96,0.070536,1.000000,768,366320
530,154,0.070183,1.000000,1232,367552
531,156,0.069832,1.000000,1248,368800
532,107,0.069483,1.000000,856,369656
533,85,0.069136,1.000000,680,370336
534,104,0.068790,1.000000,832,371168
535,129,0.068446,1.000000,1032,372200
536,128,0.068104,1.000000,1024,373224
537,141,0.067763,1.000000,1128,374352
538,94,0.067424,1.000000,752,375104
539,94,0.067087,1.000000,752,375856
540,93,0.066752,1.000000,744,376600
541,92,0.066418,1.000000,736,377336
542,96,0.066086,1.000000,768,378104
543,156,0.065756,1.000000,1248,379352
544,96,0.065427,1.000000,768,380120
545,112,0.065100,1.000000,896,381016
546,103,0.064774,1.000000,824,381840
547,92,0.064450,1.000000,736,382576
548,155,0.064128,1.000000,1240,383816
549,101,0.063807,1.000000,808,384624
550,99,0.063488,1.000000,792,385416
551,91,0.063171,1.000000,728,386144
552,155,0.062855,1.000000,1240,387384
553,154,0.062541,1.000000,1232,388616
554,156,0.062228,1.000000,1248,389864
555,96,0.061917,1.000000,768,390632
556,97,0.061607,1.000000,776,391408
557,130,0.061299,1.000000,1040,392448
558,153,0.060993,1.000000,1224,393672
559,156,0.060688,1.000000,1248,394920
560,134,0.060384,1.000000,1072,395992
561,94,0.060083,1.000000,752,396744
562,90,0.059782,1.000000,720,397464
563,97,0.059483,1.000000,776,398240
564,106,0.059186,1.000000,848,399088
565,130,0.058890,1.000000,1040,400128
566,96,0.058595,1.000000,768,400896
567,92,0.058302,1.000000,736,401632
568,96,0.058011,1.000000,768,402400
569,94,0.057721,1.000000,752,403152
570,96,0.057432,1.000000,768,403920
571,92,0.057145,1.000000,736,404656
572,154,0.056859,1.000000,1232,405888
573,156,0.056575,1.000000,1248,407136
574,156,0.056292,1.000000,1248,408384
575,156,0.056011,1.000000,1248,409632
576,96,0.055731,1.000000,768,410400
577,97,0.055452,1.000000,776,411176
578,117,0.055175,1.000000,936,412112
579,154,0.054899,1.000000,1232,413344
580,121,0.054624,1.000000,968,414312
581,118,0.054351,1.000000,944,415256
582,96,0.054080,1.000000,768,416024
583,92,0.053809,1.000000,736,416760
584,154,0.053540,1.000000,1232,417992
585,154,0.053272,1.000000,1232,419224
586,103,0.053006,1.000000,824,420048
587,96,0.052741,1.000000,768,420816
588,96,0.052477,1.000000,768,421584
589,99,0.052215,1.000000,792,422376
590,154,0.051954,1.000000,1232,423608
591,99,0.051694,1.000000,792,424400
592,94,0.051436,1.000000,752,425152
593,97,0.051178,1.000000,776,425928
594,156,0.050923,1.000000,1248,427176
595,97,0.050668,1.000000,776,427952
596,96,0.050415,1.000000,768,428720
597,96,0.050163,1.000000,768,429488
598,92,0.049912,1.000000,736,430224
599,94,0.049662,1.000000,752,430976
600,98,0.049414,1.000000,784,431760
601,102,0.049167,1.000000,816,432576
602,98,0.048921,1.000000,784,433360
603,96,0.048676,1.000000,768,434128
604,99,0.048433,1.000000,792,434920
605,102,0.048191,1.000000,816,435736
606,162,0.047950,1.000000,1296,437032
607,155,0.047710,1.000000,1240,438272
608,100,0.047472,1.000000,800,439072
609,110,0.047234,1.000000,880,439952
610,92,0.046998,1.000000,736,440688
